column_name,description,symbol,unit,type,example_value,nullable,group
hidden_index,Internal index for database management,,-,SmallInteger,0,False,Experimental program details
experimental_program,Name of the research program/investigators,,-,String,El Jisr & Lignos,False,Experimental program details
id,Unique specimen identifier,,-,String,LP4_S1_D,False,Experimental program details
profile_type,Type of steel section,,-,String,wide flange,False,Specimen details
profile,Steel section designation,,-,String,HEM320,False,Specimen details
source,Location of specimen extraction,,-,String,web,False,Specimen details
thickness,Thickness of the specimen,,mm,DecimalFloat,21,False,Specimen details
grade,Steel grade designation,,-,String,S355,False,Specimen details
spec,Steel specification suffix,,-,String,J2+M,True,Specimen details
lp,Loading protocol identifier,,-,String,LP4,False,Specimen details
size,Specimen size designation,,-,String,M20,False,Specimen details
gage_length__mm_,Gage length of the specimen,,mm,DecimalFloat,20,True,Geometric properties
avg_reduced_dia__mm_,Average reduced diameter,,mm,DecimalFloat,9.98,True,Geometric properties
avg_fractured_dia_top__mm_,Average fracture diameter at top,,mm,DecimalFloat,5.37333,True,Geometric properties
avg_fractured_dia_bot__mm_,Average fracture diameter at bottom,,mm,DecimalFloat,6.00333,True,Geometric properties
fy_n__mpa_,Nominal yield strength,,MPa,DecimalFloat,355,True,Material properties
fu_n__mpa_,Nominal ultimate strength,,MPa,DecimalFloat,490,True,Material properties
t_a__deg_c_,Ambient temperature,,°C,DecimalFloat,19.5,True,Material properties
date,Test date,,-,Date,07.10.2020,False,Experimental program details
investigator,Name of test operator,,-,String,Selimcan,False,Experimental program details
location,Testing facility location,,-,String,EPFL GIS,False,Experimental program details
machine,Testing machine model,,-,String,Schenck Trebel 500 kN,False,Test equipment details
pid_force_k_p,Force PID proportional gain,,-,DecimalFloat,0.07,True,Test equipment details
pid_force_t_i,Force PID integral time,,s,DecimalFloat,1.5,True,Test equipment details
pid_force_t_d,Force PID derivative time,,s,DecimalFloat,0,True,Test equipment details
pid_disp_k_p,Displacement PID proportional gain,,-,DecimalFloat,8.8,True,Test equipment details
pid_disp_t_i,Displacement PID integral time,,s,DecimalFloat,0.5,True,Test equipment details
pid_disp_t_d,Displacement PID derivative time,,s,DecimalFloat,0,True,Test equipment details
pid_extenso_k_p,Extensometer PID proportional gain,,-,DecimalFloat,7.5,True,Test equipment details
pid_extenso_t_i,Extensometer PID integral time,,s,DecimalFloat,50,True,Test equipment details
pid_extenso_t_d,Extensometer PID derivative time,,s,DecimalFloat,0,True,Test equipment details
